,Unnamed: 0,Unnamed: 0.1,STA,Date,Precip,WindGustSpd,MaxTemp,MinTemp,MeanTemp,Snowfall,PoorWeather,YR,MO,DA,PRCP,DR,SPD,MAX,MIN,MEA,SNF,SND,FT,FB,FTI,ITH,PGT,TSHDSBRSGF,SD3,RHX,RHN,RVG,WTE
39,39,85435,33206,1945-1-4,0,,8.333333332999999,3.333333333,5.555555556,0.0,,45,1,4,0,,,47.0,38.0,42.0,0.0,,,,,,,,,,,,
40,40,85436,33206,1945-1-5,0,,12.22222222,4.444444444,8.333333332999999,0.0,,45,1,5,0,,,54.0,40.0,47.0,0.0,,,,,,,,,,,,
41,41,85437,33206,1945-1-6,12.192,,13.88888889,8.888888889,11.11111111,0.0,1.0,45,1,6,0.48,,,57.0,48.0,52.0,0.0,,,,,,,1.0,,,,,
42,42,85438,33206,1945-1-7,6.35,,11.66666667,5.555555556,8.888888889,0.0,1.0,45,1,7,0.25,,,53.0,42.0,48.0,0.0,,,,,,,1.0,,,,,
43,43,85439,33206,1945-1-8,0,,12.77777778,5.0,8.888888889,0.0,,45,1,8,0,,,55.0,41.0,48.0,0.0,,,,,,,,,,,,
44,44,85440,33206,1945-1-9,0,,14.44444444,3.888888889,8.888888889,0.0,,45,1,9,0,,,58.0,39.0,48.0,0.0,,,,,,,,,,,,
45,45,85441,33206,1945-1-10,0,,13.88888889,7.222222222,10.55555556,0.0,,45,1,10,0,,,57.0,45.0,51.0,0.0,,,,,,,,,,,,
46,46,85442,33206,1945-1-11,1.016,,15.55555556,5.555555556,10.55555556,0.0,1.0,45,1,11,0.04,,,60.0,42.0,51.0,0.0,,,,,,,1.0,,,,,
47,47,85443,33206,1945-1-12,0,,12.77777778,3.888888889,8.333333332999999,0.0,,45,1,12,0,,,55.0,39.0,47.0,0.0,,,,,,,,,,,,
48,48,85444,33206,1945-1-13,0,,14.44444444,3.333333333,8.888888889,0.0,,45,1,13,0,,,58.0,38.0,48.0,0.0,,,,,,,,,,,,
49,49,85445,33206,1945-1-14,6.858,,10.0,5.555555556,7.777777778,0.0,1.0,45,1,14,0.27,,,50.0,42.0,46.0,0.0,,,,,,,1.0,,,,,
50,50,85446,33206,1945-1-15,5.334,,8.888888889,3.888888889,6.666666667,0.0,1.0,45,1,15,0.21,,,48.0,39.0,44.0,0.0,,,,,,,1.0,,,,,
51,51,85447,33206,1945-1-16,2.032,,11.11111111,1.6666666669999999,6.666666667,0.0,1.0,45,1,16,0.08,,,52.0,35.0,44.0,0.0,,,,,,,1.0,,,,,
52,52,85448,33206,1945-1-17,14.986,,8.888888889,5.0,6.666666667,0.0,1.0,45,1,17,0.59,,,48.0,41.0,44.0,0.0,,,,,,,1.0,,,,,
53,53,85449,33206,1945-1-18,1.016,,9.444444444,4.444444444,6.666666667,0.0,1.0,45,1,18,0.04,,,49.0,40.0,44.0,0.0,,,,,,,1.0,,,,,
54,54,85450,33206,1945-1-19,1.27,,10.0,5.555555556,7.777777778,0.0,1.0,45,1,19,0.05,,,50.0,42.0,46.0,0.0,,,,,,,1.0,,,,,
55,55,85451,33206,1945-1-20,0.762,,12.77777778,4.444444444,8.888888889,0.0,1.0,45,1,20,0.03,,,55.0,40.0,48.0,0.0,,,,,,,1.0,,,,,
56,56,85452,33206,1945-1-21,0,,12.77777778,5.555555556,8.888888889,0.0,,45,1,21,0,,,55.0,42.0,48.0,0.0,,,,,,,,,,,,
57,57,85453,33206,1945-1-22,T,,15.0,3.888888889,9.444444444,0.0,1.0,45,1,22,T,,,59.0,39.0,49.0,0.0,,,,,,,1.0,,,,,
58,58,85454,33206,1945-1-23,T,,6.1111111110000005,0.0,3.333333333,0.0,1.0,45,1,23,T,,,43.0,32.0,38.0,0.0,,,,,,,1.0,,,,,
59,59,85455,33206,1945-1-24,0,,7.777777778,-2.222222222,2.777777778,0.0,,45,1,24,0,,,46.0,28.0,37.0,0.0,,,,,,,,,,,,
60,60,85456,33206,1945-1-25,0,,12.77777778,6.1111111110000005,9.444444444,0.0,,45,1,25,0,,,55.0,43.0,49.0,0.0,,,,,,,,,,,,
61,61,85457,33206,1945-1-26,0,,16.66666667,3.888888889,10.0,0.0,,45,1,26,0,,,62.0,39.0,50.0,0.0,,,,,,,,,,,,
62,62,85458,33206,1945-1-27,2.286,,15.55555556,3.888888889,10.0,0.0,1.0,45,1,27,0.09,,,60.0,39.0,50.0,0.0,,,,,,,1.0,,,,,
63,63,85459,33206,1945-1-28,1.27,,15.55555556,5.0,10.0,0.0,1.0,45,1,28,0.05,,,60.0,41.0,50.0,0.0,,,,,,,1.0,,,,,
64,64,85460,33206,1945-1-29,1.778,,15.0,8.333333332999999,11.66666667,0.0,1.0,45,1,29,0.07,,,59.0,47.0,53.0,0.0,,,,,,,1.0,,,,,
65,65,85461,33206,1945-1-30,0,,8.333333332999999,0.5555555560000001,4.444444444,0.0,,45,1,30,0,,,47.0,33.0,40.0,0.0,,,,,,,,,,,,
66,66,85462,33206,1945-1-31,0,,5.555555556,0.0,2.777777778,0.0,,45,1,31,0,,,42.0,32.0,37.0,0.0,,,,,,,,,,,,
67,67,85463,33206,1945-3-1,0,,16.11111111,3.333333333,10.0,0.0,,45,3,1,0,,,61.0,38.0,50.0,0.0,,,,,,,,,,,,
68,68,85464,33206,1945-3-2,0,,18.88888889,5.0,12.22222222,0.0,,45,3,2,0,,,66.0,41.0,54.0,0.0,,,,,,,,,,,,
69,69,85465,33206,1945-3-3,3.302,,13.88888889,6.666666667,10.0,0.0,1.0,45,3,3,0.13,,,57.0,44.0,50.0,0.0,,,,,,,1.0,,,,,
70,70,85466,33206,1945-3-4,1.27,,8.888888889,1.6666666669999999,5.555555556,0.0,1.0,45,3,4,0.05,,,48.0,35.0,42.0,0.0,,,,,,,1.0,,,,,
71,71,85467,33206,1945-3-5,T,,8.888888889,1.111111111,5.0,0.0,1.0,45,3,5,T,,,48.0,34.0,41.0,0.0,,,,,,,1.0,,,,,
72,72,85468,33206,1945-3-6,0,,12.22222222,0.0,6.1111111110000005,0.0,,45,3,6,0,,,54.0,32.0,43.0,0.0,,,,,,,,,,,,
73,73,85469,33206,1945-3-7,T,,12.22222222,3.333333333,7.777777778,0.0,1.0,45,3,7,T,,,54.0,38.0,46.0,0.0,,,,,,,1.0,,,,,
74,74,85470,33206,1945-3-8,3.048,,13.33333333,2.222222222,7.777777778,0.0,1.0,45,3,8,0.12,,,56.0,36.0,46.0,0.0,,,,,,,1.0,,,,,
75,75,85471,33206,1945-3-9,T,,8.333333332999999,3.333333333,5.555555556,0.0,1.0,45,3,9,T,,,47.0,38.0,42.0,0.0,,,,,,,1.0,,,,,
76,76,85472,33206,1945-3-10,0,,8.888888889,1.111111111,5.0,0.0,,45,3,10,0,,,48.0,34.0,41.0,0.0,,,,,,,,,,,,
77,77,85473,33206,1945-3-11,0,,14.44444444,0.5555555560000001,7.777777778,0.0,,45,3,11,0,,,58.0,33.0,46.0,0.0,,,,,,,,,,,,
78,78,85474,33206,1945-3-12,0,,11.11111111,2.222222222,6.666666667,0.0,,45,3,12,0,,,52.0,36.0,44.0,0.0,,,,,,,,,,,,
79,79,85475,33206,1945-3-13,0,,15.55555556,0.5555555560000001,7.777777778,0.0,,45,3,13,0,,,60.0,33.0,46.0,0.0,,,,,,,,,,,,
80,80,85476,33206,1945-3-14,0,,16.11111111,3.333333333,10.0,0.0,,45,3,14,0,,,61.0,38.0,50.0,0.0,,,,,,,,,,,,
81,81,85477,33206,1945-3-15,0,,17.77777778,4.444444444,11.11111111,0.0,,45,3,15,0,,,64.0,40.0,52.0,0.0,,,,,,,,,,,,
82,82,85478,33206,1945-3-16,0,,17.77777778,5.0,11.11111111,0.0,,45,3,16,0,,,64.0,41.0,52.0,0.0,,,,,,,,,,,,
83,83,85479,33206,1945-3-17,0,,19.44444444,6.1111111110000005,12.77777778,0.0,,45,3,17,0,,,67.0,43.0,55.0,0.0,,,,,,,,,,,,
84,84,85480,33206,1945-3-18,T,,21.66666667,7.222222222,14.44444444,0.0,1.0,45,3,18,T,,,71.0,45.0,58.0,0.0,,,,,,,1.0,,,,,
85,85,85481,33206,1945-3-19,1.27,,15.0,8.888888889,12.22222222,0.0,1.0,45,3,19,0.05,,,59.0,48.0,54.0,0.0,,,,,,,1.0,,,,,
86,86,85482,33206,1945-3-20,0,,16.66666667,6.1111111110000005,11.11111111,0.0,,45,3,20,0,,,62.0,43.0,52.0,0.0,,,,,,,,,,,,
87,87,85483,33206,1945-3-21,0,,15.55555556,3.888888889,10.0,0.0,,45,3,21,0,,,60.0,39.0,50.0,0.0,,,,,,,,,,,,
88,88,85484,33206,1945-3-22,0,,21.11111111,5.0,13.33333333,0.0,,45,3,22,0,,,70.0,41.0,56.0,0.0,,,,,,,,,,,,
89,89,85485,33206,1945-3-23,T,,17.22222222,5.555555556,11.11111111,0.0,1.0,45,3,23,T,,,63.0,42.0,52.0,0.0,,,,,,,1.0,,,,,
90,90,85486,33206,1945-3-24,0,,18.33333333,5.555555556,12.22222222,0.0,,45,3,24,0,,,65.0,42.0,54.0,0.0,,,,,,,,,,,,
91,91,85487,33206,1945-3-25,0,,20.0,5.555555556,12.77777778,0.0,,45,3,25,0,,,68.0,42.0,55.0,0.0,,,,,,,,,,,,
92,92,85488,33206,1945-3-26,0,,17.22222222,6.666666667,12.22222222,0.0,,45,3,26,0,,,63.0,44.0,54.0,0.0,,,,,,,,,,,,
93,93,85489,33206,1945-3-27,0,,17.22222222,5.555555556,11.11111111,0.0,,45,3,27,0,,,63.0,42.0,52.0,0.0,,,,,,,,,,,,
94,94,85490,33206,1945-3-28,0,,18.88888889,5.555555556,12.22222222,0.0,,45,3,28,0,,,66.0,42.0,54.0,0.0,,,,,,,,,,,,
95,95,85491,33206,1945-3-29,0,,18.33333333,7.777777778,13.33333333,0.0,,45,3,29,0,,,65.0,46.0,56.0,0.0,,,,,,,,,,,,
96,96,85492,33206,1945-3-30,0,,18.33333333,10.55555556,14.44444444,0.0,,45,3,30,0,,,65.0,51.0,58.0,0.0,,,,,,,,,,,,
97,97,85493,33206,1945-3-31,0,,21.11111111,10.55555556,15.55555556,0.0,,45,3,31,0,,,70.0,51.0,60.0,0.0,,,,,,,,,,,,
98,98,85494,33206,1945-4-1,0,,19.44444444,11.11111111,15.55555556,0.0,0.0,45,4,1,0,,,67.0,52.0,60.0,0.0,,,,,,,0.0,,,,,
99,99,85495,33206,1945-4-2,0,,19.44444444,13.88888889,16.66666667,0.0,0.0,45,4,2,0,,,67.0,57.0,62.0,0.0,,,,,,,0.0,,,,,
100,100,85496,33206,1945-4-3,0,,21.66666667,8.888888889,15.55555556,0.0,0.0,45,4,3,0,,,71.0,48.0,60.0,0.0,,,,,,,0.0,,,,,
101,101,85497,33206,1945-4-4,0,,22.77777778,7.777777778,15.55555556,0.0,0.0,45,4,4,0,,,73.0,46.0,60.0,0.0,,,,,,,0.0,,,,,
102,102,85498,33206,1945-4-5,0,,21.66666667,8.333333332999999,15.0,0.0,0.0,45,4,5,0,,,71.0,47.0,59.0,0.0,,,,,,,0.0,,,,,
103,103,85499,33206,1945-4-6,0,,20.0,10.0,15.0,0.0,0.0,45,4,6,0,,,68.0,50.0,59.0,0.0,,,,,,,0.0,,,,,
104,104,85500,33206,1945-4-7,0,,24.44444444,10.55555556,17.77777778,0.0,0.0,45,4,7,0,,,76.0,51.0,64.0,0.0,,,,,,,0.0,,,,,
105,105,85501,33206,1945-4-8,0,,21.11111111,11.66666667,16.66666667,0.0,0.0,45,4,8,0,,,70.0,53.0,62.0,0.0,,,,,,,0.0,,,,,
106,106,85502,33206,1945-4-9,0,,18.88888889,9.444444444,14.44444444,0.0,0.0,45,4,9,0,,,66.0,49.0,58.0,0.0,,,,,,,0.0,,,,,
107,107,85503,33206,1945-4-10,T,,19.44444444,9.444444444,14.44444444,0.0,1.0,45,4,10,T,,,67.0,49.0,58.0,0.0,,,,,,,1.0,,,,,
108,108,85504,33206,1945-4-11,0,,17.77777778,9.444444444,13.88888889,0.0,0.0,45,4,11,0,,,64.0,49.0,57.0,0.0,,,,,,,0.0,,,,,
109,109,85505,33206,1945-4-12,0,,20.0,7.777777778,13.88888889,0.0,0.0,45,4,12,0,,,68.0,46.0,57.0,0.0,,,,,,,0.0,,,,,
110,110,85506,33206,1945-4-13,0,,25.55555556,10.0,17.77777778,0.0,0.0,45,4,13,0,,,78.0,50.0,64.0,0.0,,,,,,,0.0,,,,,
111,111,85507,33206,1945-4-14,T,,23.88888889,12.77777778,18.33333333,0.0,1.0,45,4,14,T,,,75.0,55.0,65.0,0.0,,,,,,,1.0,,,,,
112,112,85508,33206,1945-4-15,2.794,,18.88888889,13.33333333,16.11111111,0.0,1.0,45,4,15,0.11,,,66.0,56.0,61.0,0.0,,,,,,,1.0,,,,,
113,113,85509,33206,1945-4-16,7.874,,15.0,7.777777778,11.66666667,0.0,1.0,45,4,16,0.31,,,59.0,46.0,53.0,0.0,,,,,,,1.0,,,,,
114,114,85510,33206,1945-4-17,0,,16.11111111,7.777777778,12.22222222,0.0,0.0,45,4,17,0,,,61.0,46.0,54.0,0.0,,,,,,,0.0,,,,,
115,115,85511,33206,1945-4-18,0,,21.11111111,3.888888889,12.77777778,0.0,0.0,45,4,18,0,,,70.0,39.0,55.0,0.0,,,,,,,0.0,,,,,
116,116,85512,33206,1945-4-19,0,,23.33333333,9.444444444,16.66666667,0.0,0.0,45,4,19,0,,,74.0,49.0,62.0,0.0,,,,,,,0.0,,,,,
117,117,85513,33206,1945-4-20,4.826,,19.44444444,9.444444444,14.44444444,0.0,1.0,45,4,20,0.19,,,67.0,49.0,58.0,0.0,,,,,,,1.0,,,,,
118,118,85514,33206,1945-4-21,0,,19.44444444,7.777777778,13.88888889,0.0,0.0,45,4,21,0,,,67.0,46.0,57.0,0.0,,,,,,,0.0,,,,,
119,119,85515,33206,1945-4-22,0,,20.55555556,8.333333332999999,14.44444444,0.0,0.0,45,4,22,0,,,69.0,47.0,58.0,0.0,,,,,,,0.0,,,,,
120,120,85516,33206,1945-4-23,0,,25.0,11.66666667,18.33333333,0.0,0.0,45,4,23,0,,,77.0,53.0,65.0,0.0,,,,,,,0.0,,,,,
121,121,85517,33206,1945-4-24,0,,24.44444444,8.888888889,16.66666667,0.0,0.0,45,4,24,0,,,76.0,48.0,62.0,0.0,,,,,,,0.0,,,,,
122,122,85518,33206,1945-4-25,0,,21.11111111,12.77777778,17.22222222,0.0,0.0,45,4,25,0,,,70.0,55.0,63.0,0.0,,,,,,,0.0,,,,,
123,123,85519,33206,1945-4-26,0,,21.11111111,8.888888889,15.0,0.0,0.0,45,4,26,0,,,70.0,48.0,59.0,0.0,,,,,,,0.0,,,,,
124,124,85520,33206,1945-4-27,0,,21.66666667,9.444444444,15.55555556,0.0,0.0,45,4,27,0,,,71.0,49.0,60.0,0.0,,,,,,,0.0,,,,,
125,125,85521,33206,1945-4-28,T,,21.11111111,11.66666667,16.66666667,0.0,1.0,45,4,28,T,,,70.0,53.0,62.0,0.0,,,,,,,1.0,,,,,
126,126,85522,33206,1945-4-29,T,,22.77777778,12.22222222,17.77777778,0.0,1.0,45,4,29,T,,,73.0,54.0,64.0,0.0,,,,,,,1.0,,,,,
127,127,85523,33206,1945-4-30,0,,25.0,13.88888889,19.44444444,0.0,0.0,45,4,30,0,,,77.0,57.0,67.0,0.0,,,,,,,0.0,,,,,
128,128,85524,33206,1945-5-1,0,,24.44444444,11.11111111,17.77777778,0.0,,45,5,1,0,,,76.0,52.0,64.0,0.0,,,,,,,,,,,,
129,129,85525,33206,1945-5-2,T,,24.44444444,11.66666667,17.77777778,0.0,1.0,45,5,2,T,,,76.0,53.0,64.0,0.0,,,,,,,1.0,,,,,
130,130,85526,33206,1945-5-3,0,,22.77777778,12.77777778,17.77777778,0.0,,45,5,3,0,,,73.0,55.0,64.0,0.0,,,,,,,,,,,,
131,131,85527,33206,1945-5-4,0,,26.11111111,11.66666667,18.88888889,0.0,,45,5,4,0,,,79.0,53.0,66.0,0.0,,,,,,,,,,,,
132,132,85528,33206,1945-5-5,0,,26.11111111,14.44444444,20.0,0.0,,45,5,5,0,,,79.0,58.0,68.0,0.0,,,,,,,,,,,,
133,133,85529,33206,1945-5-6,0,,24.44444444,15.55555556,20.0,0.0,,45,5,6,0,,,76.0,60.0,68.0,0.0,,,,,,,,,,,,
134,134,85530,33206,1945-5-7,0,,27.77777778,15.55555556,21.66666667,0.0,,45,5,7,0,,,82.0,60.0,71.0,0.0,,,,,,,,,,,,
135,135,85531,33206,1945-5-8,0,,29.44444444,17.22222222,23.33333333,0.0,,45,5,8,0,,,85.0,63.0,74.0,0.0,,,,,,,,,,,,
136,136,85532,33206,1945-5-9,0,,26.11111111,17.22222222,21.66666667,0.0,,45,5,9,0,,,79.0,63.0,71.0,0.0,,,,,,,,,,,,
137,137,85533,33206,1945-5-10,0,,24.44444444,16.66666667,20.55555556,0.0,,45,5,10,0,,,76.0,62.0,69.0,0.0,,,,,,,,,,,,
138,138,85534,33206,1945-5-11,0,,24.44444444,16.66666667,20.55555556,0.0,,45,5,11,0,,,76.0,62.0,69.0,0.0,,,,,,,,,,,,
139,139,85535,33206,1945-5-12,0,,27.77777778,16.11111111,22.22222222,0.0,,45,5,12,0,,,82.0,61.0,72.0,0.0,,,,,,,,,,,,
140,140,85536,33206,1945-5-13,0,,30.0,20.55555556,25.55555556,0.0,,45,5,13,0,,,86.0,69.0,78.0,0.0,,,,,,,,,,,,
141,141,85537,33206,1945-5-14,0,,30.55555556,20.55555556,25.55555556,0.0,,45,5,14,0,,,87.0,69.0,78.0,0.0,,,,,,,,,,,,
142,142,85538,33206,1945-5-15,0,,30.0,21.11111111,25.55555556,0.0,,45,5,15,0,,,86.0,70.0,78.0,0.0,,,,,,,,,,,,
143,143,85539,33206,1945-5-16,0,,31.11111111,21.66666667,26.66666667,0.0,,45,5,16,0,,,88.0,71.0,80.0,0.0,,,,,,,,,,,,
144,144,85540,33206,1945-5-17,0,,32.22222222,21.66666667,26.66666667,0.0,,45,5,17,0,,,90.0,71.0,80.0,0.0,,,,,,,,,,,,
145,145,85541,33206,1945-5-18,0,,32.22222222,18.88888889,25.55555556,0.0,,45,5,18,0,,,90.0,66.0,78.0,0.0,,,,,,,,,,,,
146,146,85542,33206,1945-5-19,0,,30.0,17.22222222,23.33333333,0.0,,45,5,19,0,,,86.0,63.0,74.0,0.0,,,,,,,,,,,,
147,147,85543,33206,1945-5-20,0,,31.66666667,17.77777778,24.44444444,0.0,,45,5,20,0,,,89.0,64.0,76.0,0.0,,,,,,,,,,,,
148,148,85544,33206,1945-5-21,0.254,,32.22222222,18.88888889,25.55555556,0.0,1.0,45,5,21,0.01,,,90.0,66.0,78.0,0.0,,,,,,,1.0,,,,,
149,149,85545,33206,1945-5-22,0,,31.66666667,18.33333333,25.0,0.0,,45,5,22,0,,,89.0,65.0,77.0,0.0,,,,,,,,,,,,
150,150,85546,33206,1945-5-23,0,,31.11111111,17.77777778,24.44444444,0.0,,45,5,23,0,,,88.0,64.0,76.0,0.0,,,,,,,,,,,,
151,151,85547,33206,1945-5-24,0,,40.0,18.33333333,28.88888889,0.0,,45,5,24,0,,,104.0,65.0,84.0,0.0,,,,,,,,,,,,
152,152,85548,33206,1945-5-25,0,,37.77777778,20.0,28.88888889,0.0,,45,5,25,0,,,100.0,68.0,84.0,0.0,,,,,,,,,,,,
153,153,85549,33206,1945-5-26,0,,36.11111111,19.44444444,27.77777778,0.0,,45,5,26,0,,,97.0,67.0,82.0,0.0,,,,,,,,,,,,
154,154,85550,33206,1945-5-27,0,,33.88888889,20.55555556,27.22222222,0.0,,45,5,27,0,,,93.0,69.0,81.0,0.0,,,,,,,,,,,,
155,155,85551,33206,1945-5-28,0,,33.88888889,22.22222222,27.77777778,0.0,,45,5,28,0,,,93.0,72.0,82.0,0.0,,,,,,,,,,,,
156,156,85552,33206,1945-5-29,0,,31.11111111,20.0,25.55555556,0.0,,45,5,29,0,,,88.0,68.0,78.0,0.0,,,,,,,,,,,,
157,157,85553,33206,1945-5-30,0,,28.88888889,20.0,24.44444444,0.0,,45,5,30,0,,,84.0,68.0,76.0,0.0,,,,,,,,,,,,
158,158,85554,33206,1945-5-31,0,,29.44444444,18.33333333,23.88888889,0.0,,45,5,31,0,,,85.0,65.0,75.0,0.0,,,,,,,,,,,,
159,159,85555,33206,1945-6-1,T,,28.88888889,20.0,24.44444444,0.0,1.0,45,6,1,T,,,84.0,68.0,76.0,0.0,,,,,,,1.0,,,,,
160,160,85556,33206,1945-6-2,T,,27.22222222,18.33333333,22.77777778,0.0,1.0,45,6,2,T,,,81.0,65.0,73.0,0.0,,,,,,,1.0,,,,,
161,161,85557,33206,1945-6-3,0,,27.77777778,17.22222222,22.22222222,0.0,,45,6,3,0,,,82.0,63.0,72.0,0.0,,,,,,,,,,,,
